Headline,Source,Published,Type,Video ID,Published URL,User_ID,Team_ID,Platform_ID
Headline_3a11c61b3c1b,https://obfuscated.source.example/a4f0f8276af76065,No,news bulletin,4168417,,1,1,
Headline_415212ea682f,https://obfuscated.source.example/d2945450bf84af0f,No,news bulletin,154352428,,1,1,
Headline_2d82a32f7307,https://obfuscated.source.example/b0d41c47d3147049,No,news bulletin,523805444,,1,1,
Headline_3914d7909c17,https://obfuscated.source.example/c28e8dfd48fb1dc0,No,news bulletin,361444089,,1,1,
Headline_9b2333056efb,https://obfuscated.source.example/f4c0cf3215166ece,No,news bulletin,526927388,,1,1,
Headline_ed0d821f501c,https://obfuscated.source.example/3bcd657371cf2f15,No,news bulletin,175173924,,1,1,
Headline_d8c5377c519e,https://obfuscated.source.example/7a7e78d1cbe391c4,No,news bulletin,834704520,,1,1,
Headline_5b2874e0d159,https://obfuscated.source.example/64384016142d8394,No,news bulletin,696972972,,1,1,
Headline_f6e2b9ddeed2,https://obfuscated.source.example/a7c1c6de909b552b,No,news bulletin,749129295,,1,1,
Headline_50f17eb8a676,https://obfuscated.source.example/58d9e12aab647181,No,news bulletin,52270453,,1,1,
Headline_1eb6d1e35bca,https://obfuscated.source.example/bba498d7638006ab,No,news bulletin,574762924,,1,1,
Headline_81903b79bf38,https://obfuscated.source.example/176414d0a8be044c,No,news bulletin,811162308,,1,1,
Headline_827f93f80dbf,https://obfuscated.source.example/c72589a967dfb7a6,No,news bulletin,737101869,,1,1,
Headline_579d05265e78,https://obfuscated.source.example/8f0d34574e92caaf,No,news bulletin,949629997,,1,1,
Headline_b8c28a96d232,https://obfuscated.source.example/5c0ab076bd0b4f0b,No,news bulletin,13600851,,1,1,
Headline_731871317761,https://obfuscated.source.example/0fd7b2a8143f1fa3,No,news bulletin,386514305,,1,1,
Headline_7c5a491e6547,https://obfuscated.source.example/c33f5021329a54be,No,news bulletin,183350569,,1,1,
